id,league,team,player_name,weekly_gbp,annual_gbp,weekly_eur,annual_eur,age,position_raw,nationality,source_url
50777,Scottish Championship,Dundee,Joe Westley,2100,109200,2478.0,128856.0,20,"AM R, ST",England,/football/scottish-championship/dundee/
50778,Scottish Championship,Dundee,Plamen Galabov,1800,93600,2124.0,110448.0,29,D RC,Bulgaria,/football/scottish-championship/dundee/
50779,Scottish Championship,Dundee,Paul Digby,1800,93600,2124.0,110448.0,30,"D C, DM",England,/football/scottish-championship/dundee/
50780,Scottish Championship,Dundee,Ryan Astley,1700,88400,2006.0,104312.0,23,D C,Wales,/football/scottish-championship/dundee/
50781,Scottish Championship,Dundee,Kieran O'Hara,1000,52000,1180.0,61360.0,29,GK,Ireland,/football/scottish-championship/dundee/
50782,Scottish Championship,Dundee,Charlie Reilly,830,43160,979.4,50928.8,23,"AM RL, ST",Scotland,/football/scottish-championship/dundee/
50783,Scottish Championship,Dundee,Harrison Sharp,780,40560,920.4,47860.8,24,GK,Scotland,/football/scottish-championship/dundee/
50784,Scottish Championship,Dundee,Luke Graham,690,35880,814.2,42338.4,21,D C,Scotland,/football/scottish-championship/dundee/
50785,Scottish Championship,Dundee,Tony Yogane,600,31200,708.0,36816.0,19,AM RL,England,/football/scottish-championship/dundee/
50786,Scottish Championship,Dundee,César Garza,430,22360,507.4,26384.8,20,DM,Mexico,/football/scottish-championship/dundee/
50787,Scottish Championship,Dundee,Lewis McKelvie,340,17680,401.2,20862.4,19,GK,Scotland,/football/scottish-championship/dundee/
50788,Scottish Championship,Dundee,Ruaridh Lynch,280,14560,330.4,17180.8,19,GK,Scotland,/football/scottish-championship/dundee/
50789,Scottish Championship,Dundee,Tobias Davies-Browne,260,13520,306.8,15953.6,19,D LC,Scotland,/football/scottish-championship/dundee/
50790,Scottish Championship,Dundee,Chase Scott,200,10400,236.0,12272.0,17,D/WB L,Scotland,/football/scottish-championship/dundee/
50791,Scottish Championship,Dundee,Josh Mitchell,150,7800,177.0,9204.0,18,DM,Scotland,/football/scottish-championship/dundee/
50792,Scottish Championship,Dundee,Ethan Crombie,150,7800,177.0,9204.0,16,M C,Scotland,/football/scottish-championship/dundee/
50793,Scottish Championship,Dundee,Cole Perrie,150,7800,177.0,9204.0,17,"D C, DM",Scotland,/football/scottish-championship/dundee/
50794,Scottish Championship,Dundee,Luca Perrie,150,7800,177.0,9204.0,17,ST,Scotland,/football/scottish-championship/dundee/
50795,Scottish Championship,Dundee,Ryan Bland,140,7280,165.2,8590.4,16,AM RC,Scotland,/football/scottish-championship/dundee/
50796,Scottish Championship,Dundee,Charley Oosenbrugh,100,5200,118.0,6136.0,16,D C,Scotland,/football/scottish-championship/dundee/
50797,Scottish Championship,Dundee,Ashton Leiper,100,5200,118.0,6136.0,17,DM,Scotland,/football/scottish-championship/dundee/
50798,Scottish Championship,Dundee,Michael Hunter,100,5200,118.0,6136.0,18,DM,Scotland,/football/scottish-championship/dundee/
50799,Scottish Championship,Dunfermline Athletic,Jefferson Cáceres,1100,57200,1298.0,67496.0,22,AM RL,Peru,/football/scottish-championship/dunfermline-athletic/
50800,Scottish Championship,Dunfermline Athletic,Chris Kane,980,50960,1156.4,60132.8,30,ST,Scotland,/football/scottish-championship/dunfermline-athletic/
50801,Scottish Championship,Dunfermline Athletic,Alfons Amade,970,50440,1144.6,59519.2,25,"D/WB R, DM",Mozambique,/football/scottish-championship/dunfermline-athletic/
50802,Scottish Championship,Dunfermline Athletic,Zak Rudden,900,46800,1062.0,55224.0,25,ST,Scotland,/football/scottish-championship/dunfermline-athletic/
50803,Scottish Championship,Dunfermline Athletic,Mason Munn,900,46800,1062.0,55224.0,19,GK,N.Ireland,/football/scottish-championship/dunfermline-athletic/
